nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
0.033,0.034,0.078,0.75,0.1,9,0.45,0.1,2,0.075,40,1.1408,0.0258
0.033,0.034,0.078,0.75,0.5,3,0.45,0.1,0.4,0.075,24,0.6555,0.035
0.033,0.034,0.078,1.5,0.1,9,0.45,0.02,4,0.225,80,1.8142,0.0941
0.033,0.034,0.078,1.5,1,9,0.45,0.1,4,0.075,80,0.333,0.0469
0.033,0.034,0.13,1.5,0.3,9,0.15,0.02,4,0.075,80,1.6375,0.0248
0.033,0.068,0.13,1.5,0.1,9,1.5,0.06,4,0.075,80,2.7388,0.1263
0.099,0.0068,0.026,0.15,0.1,15,0.75,0.06,2,0.375,8,0.1106,0.0176
0.099,0.0068,0.026,0.75,0.1,9,0.15,0.1,1.2,0.075,40,0.9885,0.1153
0.099,0.0068,0.026,0.75,0.1,9,0.15,0.1,2,0.075,40,1.0691,0.0224
0.099,0.0068,0.026,0.75,0.1,9,0.15,0.1,2,0.075,40,1.0691,0.0224
0.099,0.0068,0.026,1.5,0.1,9,1.5,0.1,4,0.075,80,2.9779,0.0772
0.099,0.0068,0.026,1.5,0.3,9,0.15,0.2,4,0.075,80,1.9623,0.1101
0.099,0.0068,0.078,0.75,0.1,9,0.45,0.1,2,0.075,40,1.2671,0.0061
0.099,0.0068,0.078,1.5,0.1,9,0.75,0.2,4,0.225,80,2.2318,0.3808
0.099,0.0204,0.026,1.5,0.1,9,1.5,0.06,4,0.075,80,2.3313,0.0895
0.099,0.0204,0.078,1.5,0.1,9,1.5,0.2,4,0.075,80,2.7213,0.1079
0.099,0.0204,0.13,1.5,0.1,9,0.75,0.02,4,0.375,80,2.2501,0.0901
0.099,0.034,0.026,0.75,0.1,15,0.45,0.02,1.2,0.075,40,0.8959,0.075
0.099,0.034,0.026,0.75,0.3,15,0.45,0.02,2,0.225,40,1.1365,0.0306
0.099,0.034,0.026,1.5,0.1,9,0.15,0.06,4,0.075,80,1.6249,0.0573
0.099,0.034,0.026,1.5,0.1,9,0.75,0.2,4,0.075,80,2.6532,0.1262
0.099,0.034,0.026,1.5,0.3,9,0.75,0.1,4,0.075,80,2.0771,0.1773
0.099,0.034,0.078,0.75,0.3,15,0.15,0.06,2,0.225,40,0.9319,0.1733
0.099,0.034,0.078,0.75,0.3,15,0.45,0.02,2,0.075,40,1.0888,0.0468
0.099,0.034,0.13,0.15,0.3,3,0.15,0.06,1.2,0.225,8,0.6119,0.038
0.099,0.034,0.13,0.75,0.1,3,0.15,0.02,0.4,0.225,8,0.4984,0.0261
0.099,0.034,0.13,0.75,0.3,9,0.15,0.02,2,0.225,40,1.2291,0.0647
0.099,0.034,0.13,0.75,0.3,9,0.45,0.02,2,0.075,40,0.9745,0.188
0.099,0.034,0.13,0.75,0.3,15,0.15,0.06,1.2,0.075,40,0.8347,0.1446
0.099,0.068,0.026,1.5,1,9,0.15,0.06,4,0.225,80,0.107,0.0188
0.099,0.068,0.078,1.5,0.1,9,1.5,0.1,4,0.225,80,2.4921,0.137
0.165,0.0068,0.026,1.5,0.3,9,1.5,0.1,4,0.075,80,1.9711,0.0225
0.165,0.0068,0.078,0.45,0.1,15,0.15,0.1,2,0.075,40,0.8219,0.1558
0.165,0.0068,0.078,0.75,0.3,3,0.15,0.02,1.2,0.075,40,0.7139,0.095
0.165,0.0068,0.078,0.75,0.3,9,0.15,0.02,2,0.225,40,1.2088,0.0981
0.165,0.0068,0.078,1.5,0.1,9,0.15,0.1,4,0.075,80,1.9736,0.4812
0.165,0.0068,0.078,1.5,0.1,9,0.45,0.02,4,0.075,80,2.2771,0.0634
0.165,0.0068,0.13,0.75,0.1,9,0.45,0.02,2,0.075,40,1.0188,0.0549
0.165,0.0204,0.026,0.75,0.3,15,0.45,0.06,2,0.075,40,1.1858,0.091
0.165,0.0204,0.026,1.5,0.3,9,0.15,0.06,4,0.075,80,1.5186,0.212
0.165,0.0204,0.078,0.45,0.3,9,0.45,0.1,0.4,0.225,24,0.3448,0.2362
0.165,0.0204,0.078,1.5,0.1,9,0.15,0.02,4,0.075,80,2.1071,0.5427
0.165,0.0204,0.078,1.5,0.1,9,0.15,0.1,4,0.075,80,1.6264,0.0514
0.165,0.0204,0.078,1.5,0.1,9,0.75,0.02,4,0.375,80,2.3285,0.0916
0.165,0.0204,0.13,0.75,0.3,9,0.15,0.02,2,0.225,40,1.1424,0.0502
0.165,0.034,0.026,0.45,0.5,9,0.15,0.1,2,0.225,8,0.3714,0.0154
0.165,0.034,0.026,0.75,0.1,15,0.45,0.06,2,0.075,40,0.7619,0.0659
0.165,0.034,0.026,1.5,0.1,9,1.5,0.1,4,0.075,80,2.5243,0.0132
0.165,0.034,0.078,0.75,0.1,9,0.15,0.1,2,0.075,40,0.9824,0.0173
0.165,0.034,0.078,0.75,0.3,15,0.15,0.02,2,0.075,40,1.1168,0.041
0.165,0.034,0.078,1.5,0.1,9,0.75,0.02,4,0.075,80,2.7052,0.0688
0.165,0.034,0.078,1.5,0.1,9,1.5,0.1,4,0.375,80,2.3906,0.1481
0.165,0.068,0.026,1.5,0.5,9,0.15,0.02,4,0.225,80,1.4025,0.0304
0.165,0.068,0.026,1.5,0.5,9,0.15,0.1,4,0.225,80,1.453,0.0055
0.165,0.068,0.078,1.5,0.1,9,1.5,0.02,4,0.075,80,2.7073,0.037
0.165,0.068,0.078,1.5,0.3,9,1.5,0.06,4,0.075,80,1.9594,0.1687
0.165,0.068,0.13,1.5,0.1,9,0.45,0.06,4,0.075,80,2.2884,0.1682
0.165,0.068,0.13,1.5,1,9,0.15,0.1,4,0.075,80,0.2494,0.074
0.33,0.0068,0.026,1.5,0.1,9,0.45,0.1,4,0.075,80,1.9458,0.038
0.33,0.0068,0.078,1.5,0.1,9,0.75,0.1,4,0.075,80,2.5519,0.0497
0.33,0.0068,0.078,1.5,0.1,9,1.5,0.02,4,0.375,80,1.9725,0.1682
0.33,0.0068,0.078,1.5,0.1,9,1.5,0.1,4,0.225,80,2.1496,0.0646
0.33,0.0204,0.026,1.5,0.1,9,1.5,0.2,4,0.375,80,2.1215,0.2133
0.33,0.0204,0.078,1.5,1,9,0.15,0.2,4,0.075,80,0.2546,0.0374
0.33,0.034,0.078,1.5,0.1,9,1.5,0.06,4,0.075,80,2.6628,0.0392
0.33,0.068,0.078,1.5,0.3,9,0.45,0.06,4,0.075,80,2.104,0.0971
0.33,0.068,0.26,0.45,1,30,1.5,0.2,4,0.75,80,0,0.094
0.33,0.068,0.26,1.5,0.1,30,1.5,0.2,4,0.75,80,0.0354,0.063
